year,Avon,Bedfordshire and Luton,Berkshire,Birmingham and Solihull,Blackpool and Fylde,Buckinghamshire,Cambridgeshire and Peterborough,Carmarthenshire and Pembrokeshire,Cheshire,Cornwall and the Isles of Scilly,County Durham and Darlington,Coventry,Cumbria,Derby and Derbyshire,Dorset,East Riding of Yorkshire and Kingston-upon-Hull,East Sussex,Essex,Exeter and Greater Devon,Gateshead and South Tyneside,Gloucestershire,Greater Manchester North,Greater Manchester South,Greater Manchester West,Gwent,"Hampshire, Portsmouth and Southampton",Herefordshire,Hertfordshire,Isle of Wight,Kent Central and South East,Kent Mid and Medway,Kent North East,Kent North West,Lancashire and Blackburn with Darwen,Leicester City and South Leicestershire,Lincolnshire,Liverpool and the Wirral,London East,London Inner North,London Inner South,London Inner West,London North,London South,London West,Manchester City,Milton Keynes,Newcastle and North Tyneside,Norfolk,North Lincolnshire and Grimsby,North Wales (East & Central),North West Wales,North Yorkshire and York,Northamptonshire,Northumberland North,Nottinghamshire,Oxfordshire,"Plymouth, Torbay and South Devon",Rutland and North Leicestershire,"Shropshire, Telford and Wrekin",Somerset,South Wales Central,Staffordshire and Stoke-on-Trent,Suffolk,Sunderland,Surrey,Swansea and Neath Port Talbot,Teesside,The Black Country Jurisdiction,Warwickshire,"West Sussex, Brighton and Hove",Wiltshire and Swindon,Worcestershire,Yorkshire South East,Yorkshire South West,Yorkshire West Eastern,Yorkshire West Western
2013,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,3
2014,2,2,1,2,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,3,2,3,0,1,0,1,0,0,0,0,0,0,0,1,2,1,4,6,1,2,0,1,0,0,0,3,0,2,0,0,0,1,1,0,2,0,0,1,3,0,0,0,1,0,4,1,0,4,1,1,0,2,2,1
2015,2,1,1,2,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0,1,0,1,6,2,0,0,0,1,0,0,0,0,0,0,7,1,0,0,6,2,0,0,0,0,1,1,1,4,0,1,0,0,0,1,2,0,2,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,3,1
2016,0,0,0,3,0,0,0,1,0,1,2,1,1,0,0,0,0,2,2,0,0,1,6,0,0,1,0,0,0,0,2,0,0,1,0,2,0,1,6,4,2,1,0,2,2,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,4,1,0,1,3,0,1,0,0,2,1,0,2,0,1,1
2017,2,2,0,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,3,1,6,4,0,2,0,1,1,0,0,0,1,0,1,1,2,1,5,2,0,1,0,1,1,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,4,0,0,0,1,1,0,1,0,4,0,1,0,1,1,1
2018,2,0,0,1,1,1,0,0,0,1,0,1,1,0,2,0,0,1,0,0,1,1,8,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,1,0,1,0,1,0,0,1,1,1,1,2,0,0,1,2
2019,5,3,4,14,2,1,1,0,6,4,3,0,2,2,3,1,2,1,1,1,0,6,27,5,2,4,0,1,1,2,1,0,0,1,0,2,0,5,12,7,4,0,1,3,6,3,1,6,0,4,0,0,1,0,3,2,3,0,1,0,5,2,9,1,3,3,0,3,2,11,3,2,1,1,6,2
2020,2,6,1,5,6,0,0,0,0,9,10,2,5,7,3,0,1,12,1,0,0,3,39,4,2,3,1,4,1,2,2,4,0,4,2,6,3,20,11,6,2,4,3,2,0,5,1,7,0,2,0,0,3,0,4,0,2,1,4,0,5,3,6,2,9,4,0,6,3,11,2,2,0,5,5,5
2021,1,2,0,6,1,0,3,0,0,3,0,0,0,3,5,0,0,0,0,0,0,3,11,1,3,4,0,0,1,0,7,0,0,3,0,1,1,3,10,4,2,0,0,2,2,0,1,3,0,1,0,1,0,0,5,0,1,0,0,0,3,6,0,2,5,0,0,1,0,7,0,2,0,1,4,2
2022,1,1,0,1,0,0,0,0,0,2,0,0,2,1,1,2,0,0,1,0,0,2,4,0,1,1,1,0,0,0,1,1,0,0,0,1,0,6,2,0,0,0,0,0,2,1,1,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,1,3,0,0,0,0,1,0,0,0,3,1,1
2023,0,1,2,2,0,0,1,0,1,3,2,0,0,1,3,0,2,3,0,0,0,1,6,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,5,2,0,0,1,0,0,2,2,2,0,3,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,2,2,0,5,0,1,0,1
2024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
